,country,variable,value
723,Portugal,Employees working very long hours,5.6
724,Portugal,Employment rate,69.0
725,Portugal,Feeling safe walking alone at night,83.0
726,Portugal,Homicide rate,0.7
727,Portugal,Household net adjusted disposable income,24877.0
728,Portugal,Household net wealth,255303.0
729,Portugal,Housing expenditure,19.6
730,Portugal,Labour market insecurity,8.1
731,Portugal,Life expectancy,81.8
732,Portugal,Life satisfaction,5.8
733,Portugal,Long-term unemployment rate,2.3
734,Portugal,Personal earnings,28410.0
735,Portugal,Quality of support network,87.0
736,Portugal,Rooms per person,1.7
737,Portugal,Self-reported health,50.0
738,Portugal,Stakeholder engagement for developing regulations,1.5
739,Portugal,Student skills,492.0
740,Portugal,Time devoted to leisure and personal care,15.111
741,Portugal,Voter turnout,49.0
742,Portugal,Water quality,89.0
743,Portugal,Years in education,17.0
744,Russia,Air pollution,11.8
745,Russia,Dwellings without basic facilities,13.8
746,Russia,Educational attainment,95.0
747,Russia,Employees working very long hours,0.1
748,Russia,Employment rate,70.0
749,Russia,Feeling safe walking alone at night,64.0
750,Russia,Homicide rate,4.8
751,Russia,Household net adjusted disposable income,19546.0
752,Russia,Household net wealth,84899.2
753,Russia,Housing expenditure,17.4
754,Russia,Labour market insecurity,4.69
755,Russia,Life expectancy,73.2
756,Russia,Life satisfaction,5.5
757,Russia,Long-term unemployment rate,1.1
758,Russia,Personal earnings,26720.1
759,Russia,Quality of support network,89.0
760,Russia,Rooms per person,1.0
761,Russia,Self-reported health,43.0
762,Russia,Stakeholder engagement for developing regulations,2.37
763,Russia,Student skills,481.0
764,Russia,Time devoted to leisure and personal care,14.703
765,Russia,Voter turnout,68.0
766,Russia,Water quality,62.0
767,Russia,Years in education,16.0
768,Slovak Republic,Air pollution,18.5
769,Slovak Republic,Dwellings without basic facilities,1.5
770,Slovak Republic,Educational attainment,92.0
771,Slovak Republic,Employees working very long hours,4.2
772,Slovak Republic,Employment rate,68.0
773,Slovak Republic,Feeling safe walking alone at night,76.0
774,Slovak Republic,Homicide rate,0.8
775,Slovak Republic,Household net adjusted disposable income,21149.0
776,Slovak Republic,Household net wealth,171425.0
777,Slovak Republic,Housing expenditure,27.4
778,Slovak Republic,Labour market insecurity,8.8
779,Slovak Republic,Life expectancy,77.8
780,Slovak Republic,Life satisfaction,6.5
781,Slovak Republic,Long-term unemployment rate,3.0
782,Slovak Republic,Personal earnings,23619.0
783,Slovak Republic,Quality of support network,95.0
784,Slovak Republic,Rooms per person,1.1
785,Slovak Republic,Self-reported health,65.0
786,Slovak Republic,Stakeholder engagement for developing regulations,3.0
787,Slovak Republic,Student skills,469.0
788,Slovak Republic,Time devoted to leisure and personal care,15.019
789,Slovak Republic,Voter turnout,66.0
790,Slovak Republic,Water quality,81.0
791,Slovak Republic,Years in education,16.0
792,Slovenia,Air pollution,17.0
793,Slovenia,Dwellings without basic facilities,0.2
794,Slovenia,Educational attainment,90.0
795,Slovenia,Employees working very long hours,5.6
796,Slovenia,Employment rate,71.0
797,Slovenia,Feeling safe walking alone at night,91.0
798,Slovenia,Homicide rate,0.4
799,Slovenia,Household net adjusted disposable income,25250.0
800,Slovenia,Household net wealth,233286.0
801,Slovenia,Housing expenditure,18.2
802,Slovenia,Labour market insecurity,5.9
803,Slovenia,Life expectancy,81.6
804,Slovenia,Life satisfaction,6.5
805,Slovenia,Long-term unemployment rate,1.9
806,Slovenia,Personal earnings,41445.0
807,Slovenia,Quality of support network,95.0
808,Slovenia,Rooms per person,1.6
809,Slovenia,Self-reported health,67.0
810,Slovenia,Stakeholder engagement for developing regulations,2.5
811,Slovenia,Student skills,504.0
812,Slovenia,Time devoted to leisure and personal care,15.563
813,Slovenia,Voter turnout,53.0
814,Slovenia,Water quality,93.0
815,Slovenia,Years in education,18.0
816,South Africa,Air pollution,28.5
817,South Africa,Dwellings without basic facilities,35.9
818,South Africa,Educational attainment,48.0
819,South Africa,Employees working very long hours,15.4
820,South Africa,Employment rate,39.0
821,South Africa,Feeling safe walking alone at night,40.0
822,South Africa,Homicide rate,13.7
823,South Africa,Household net adjusted disposable income,9338.0
824,South Africa,Household net wealth,107554.5
825,South Africa,Housing expenditure,18.1
826,South Africa,Labour market insecurity,18.16
827,South Africa,Life expectancy,64.2
828,South Africa,Life satisfaction,4.9
829,South Africa,Long-term unemployment rate,17.9
830,South Africa,Personal earnings,23943.7
831,South Africa,Quality of support network,89.0
832,South Africa,Rooms per person,1.2
833,South Africa,Self-reported health,67.4
834,South Africa,Stakeholder engagement for developing regulations,2.03
835,South Africa,Student skills,410.5
836,South Africa,Time devoted to leisure and personal care,14.749
837,South Africa,Voter turnout,66.0
838,South Africa,Water quality,72.0
839,South Africa,Years in education,15.7
840,Spain,Air pollution,10.0
841,Spain,Dwellings without basic facilities,0.3
842,Spain,Educational attainment,63.0
843,Spain,Employees working very long hours,2.5
844,Spain,Employment rate,62.0
845,Spain,Feeling safe walking alone at night,80.0
846,Spain,Homicide rate,0.7
847,Spain,Household net adjusted disposable income,27155.0
848,Spain,Household net wealth,366534.0
849,Spain,Housing expenditure,21.7
850,Spain,Labour market insecurity,15.8
851,Spain,Life expectancy,83.9
852,Spain,Life satisfaction,6.5
853,Spain,Long-term unemployment rate,5.0
854,Spain,Personal earnings,37922.0
855,Spain,Quality of support network,93.0
856,Spain,Rooms per person,1.9
857,Spain,Self-reported health,75.0
858,Spain,Stakeholder engagement for developing regulations,1.8
859,Spain,Student skills,485.7
860,Spain,Time devoted to leisure and personal care,15.75
861,Spain,Voter turnout,72.0
862,Spain,Water quality,76.0
863,Spain,Years in education,18.0
864,Sweden,Air pollution,5.8
865,Sweden,Dwellings without basic facilities,0.0
866,Sweden,Educational attainment,84.0
867,Sweden,Employees working very long hours,0.9
868,Sweden,Employment rate,75.0
869,Sweden,Feeling safe walking alone at night,79.0
870,Sweden,Homicide rate,1.1
871,Sweden,Household net adjusted disposable income,33730.0
872,Sweden,Household net wealth,146698.2
873,Sweden,Housing expenditure,20.1
874,Sweden,Labour market insecurity,4.4
875,Sweden,Life expectancy,83.2
876,Sweden,Life satisfaction,7.3
877,Sweden,Long-term unemployment rate,1.0
878,Sweden,Personal earnings,47020.0
879,Sweden,Quality of support network,94.0
880,Sweden,Rooms per person,1.7
881,Sweden,Self-reported health,76.0
882,Sweden,Stakeholder engagement for developing regulations,2.0
883,Sweden,Student skills,503.0
884,Sweden,Time devoted to leisure and personal care,15.324
885,Sweden,Voter turnout,87.0
886,Sweden,Water quality,97.0
887,Sweden,Years in education,20.0
888,Switzerland,Air pollution,10.1
889,Switzerland,Dwellings without basic facilities,0.0
890,Switzerland,Educational attainment,89.0
891,Switzerland,Employees working very long hours,0.4
892,Switzerland,Employment rate,80.0
893,Switzerland,Feeling safe walking alone at night,86.0
894,Switzerland,Homicide rate,0.3
895,Switzerland,Household net adjusted disposable income,39697.0
896,Switzerland,Household net wealth,266187.4
897,Switzerland,Housing expenditure,21.4
898,Switzerland,Labour market insecurity,3.41
899,Switzerland,Life expectancy,84.0
900,Switzerland,Life satisfaction,7.5
901,Switzerland,Long-term unemployment rate,1.7
902,Switzerland,Personal earnings,64824.0
903,Switzerland,Quality of support network,94.0
904,Switzerland,Rooms per person,1.9
905,Switzerland,Self-reported health,81.0
906,Switzerland,Stakeholder engagement for developing regulations,2.3
907,Switzerland,Student skills,498.0
908,Switzerland,Time devoted to leisure and personal care,15.202
909,Switzerland,Voter turnout,45.0
910,Switzerland,Water quality,96.0
911,Switzerland,Years in education,17.0
912,Türkiye,Air pollution,27.1
913,Türkiye,Dwellings without basic facilities,4.9
914,Türkiye,Educational attainment,42.0
915,Türkiye,Employees working very long hours,25.0
916,Türkiye,Employment rate,48.0
917,Türkiye,Feeling safe walking alone at night,59.0
918,Türkiye,Homicide rate,1.0
919,Türkiye,Household net adjusted disposable income,19890.6
920,Türkiye,Household net wealth,168466.2
921,Türkiye,Housing expenditure,18.9
922,Türkiye,Labour market insecurity,13.0
923,Türkiye,Life expectancy,78.6
924,Türkiye,Life satisfaction,4.9
925,Türkiye,Long-term unemployment rate,3.3
926,Türkiye,Personal earnings,27891.1
927,Türkiye,Quality of support network,85.0
928,Türkiye,Rooms per person,1.0
929,Türkiye,Self-reported health,67.0
930,Türkiye,Stakeholder engagement for developing regulations,1.5
931,Türkiye,Student skills,462.0
932,Türkiye,Time devoted to leisure and personal care,14.61
933,Türkiye,Voter turnout,86.0
934,Türkiye,Water quality,62.0
935,Türkiye,Years in education,19.0
936,United Kingdom,Air pollution,10.1
937,United Kingdom,Dwellings without basic facilities,0.5
938,United Kingdom,Educational attainment,82.0
939,United Kingdom,Employees working very long hours,10.8
940,United Kingdom,Employment rate,75.0
941,United Kingdom,Feeling safe walking alone at night,78.0
942,United Kingdom,Homicide rate,0.2
943,United Kingdom,Household net adjusted disposable income,33049.0
944,United Kingdom,Household net wealth,524422.0
945,United Kingdom,Housing expenditure,23.2
946,United Kingdom,Labour market insecurity,3.3
947,United Kingdom,Life expectancy,81.3
948,United Kingdom,Life satisfaction,6.8
949,United Kingdom,Long-term unemployment rate,0.9
950,United Kingdom,Personal earnings,47147.0
951,United Kingdom,Quality of support network,93.0
952,United Kingdom,Rooms per person,2.0
953,United Kingdom,Self-reported health,73.0
954,United Kingdom,Stakeholder engagement for developing regulations,3.1
955,United Kingdom,Student skills,503.0
956,United Kingdom,Time devoted to leisure and personal care,14.94
957,United Kingdom,Voter turnout,68.0
958,United Kingdom,Water quality,82.0
959,United Kingdom,Years in education,17.0
960,United States,Air pollution,7.7
961,United States,Dwellings without basic facilities,0.1
962,United States,Educational attainment,92.0
963,United States,Employees working very long hours,10.4
964,United States,Employment rate,67.0
965,United States,Feeling safe walking alone at night,78.0
966,United States,Homicide rate,6.0
967,United States,Household net adjusted disposable income,51147.0
968,United States,Household net wealth,684500.0
969,United States,Housing expenditure,18.3
970,United States,Labour market insecurity,4.2
971,United States,Life expectancy,78.9
972,United States,Life satisfaction,7.0
973,United States,Long-term unemployment rate,0.5
974,United States,Personal earnings,69392.0
975,United States,Quality of support network,94.0
976,United States,Rooms per person,2.4
977,United States,Self-reported health,88.0
978,United States,Stakeholder engagement for developing regulations,3.1
979,United States,Student skills,495.0
980,United States,Time devoted to leisure and personal care,14.57
981,United States,Voter turnout,65.0
982,United States,Water quality,88.0
983,United States,Years in education,17.0
